"","class","tw","venue"
"325","field","Kolkata Knight Riders","Eden Gardens"
"326","bat","Rajasthan Royals","M Chinnaswamy Stadium"
"327","field","Delhi Daredevils","Wankhede Stadium"
"328","bat","Deccan Chargers","Sawai Mansingh Stadium"
"329","bat","Pune Warriors","M Chinnaswamy Stadium"
"330","bat","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"331","bat","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"332","field","Pune Warriors","MA Chidambaram Stadium, Chepauk"
"333","field","Royal Challengers Bangalore","Punjab Cricket Association Stadium, Mohali"
"334","bat","Rajasthan Royals","MA Chidambaram Stadium, Chepauk"
"335","field","Delhi Daredevils","Feroz Shah Kotla"
"336","bat","Mumbai Indians","Wankhede Stadium"
"337","field","Kolkata Knight Riders","Barabati Stadium"
"338","field","Rajasthan Royals","Sawai Mansingh Stadium"
"339","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"340","bat","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"341","bat","Deccan Chargers","Subrata Roy Sahara Stadium"
"342","field","Mumbai Indians","Feroz Shah Kotla"
"343","bat","Kings XI Punjab","MA Chidambaram Stadium, Chepauk"
"344","bat","Kolkata Knight Riders","Eden Gardens"
"345","bat","Delhi Daredevils","Feroz Shah Kotla"
"346","field","Mumbai Indians","Wankhede Stadium"
"347","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"348","bat","Deccan Chargers","Barabati Stadium"
"349","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"350","field","Kings XI Punjab","M Chinnaswamy Stadium"
"351","bat","Mumbai Indians","Subrata Roy Sahara Stadium"
"352","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"353","bat","Kolkata Knight Riders","Eden Gardens"
"354","bat","Rajasthan Royals","Punjab Cricket Association Stadium, Mohali"
"355","field","Mumbai Indians","Wankhede Stadium"
"356","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"357","bat","Delhi Daredevils","Feroz Shah Kotla"
"358","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"359","field","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"360","field","Royal Challengers Bangalore","Wankhede Stadium"
"361","field","Chennai Super Kings","Sawai Mansingh Stadium"
"362","field","Pune Warriors","Subrata Roy Sahara Stadium"
"363","bat","Mumbai Indians","Eden Gardens"
"364","field","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"365","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"366","bat","Deccan Chargers","Punjab Cricket Association Stadium, Mohali"
"367","field","Mumbai Indians","M Chinnaswamy Stadium"
"368","field","Chennai Super Kings","Eden Gardens"
"369","bat","Kings XI Punjab","Feroz Shah Kotla"
"370","field","Mumbai Indians","Wankhede Stadium"
"371","field","Kings XI Punjab","Himachal Pradesh Cricket Association Stadium"
"372","field","Delhi Daredevils","Feroz Shah Kotla"
"373","bat","Rajasthan Royals","Rajiv Gandhi International Stadium, Uppal"
"374","field","Delhi Daredevils","Himachal Pradesh Cricket Association Stadium"
"375","bat","Kolkata Knight Riders","Subrata Roy Sahara Stadium"
"376","field","Royal Challengers Bangalore","Rajiv Gandhi International Stadium, Uppal"
"377","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"378","bat","Kolkata Knight Riders","Subrata Roy Sahara Stadium"
"379","field","Mumbai Indians","M Chinnaswamy Stadium"
"380","field","Delhi Daredevils","MA Chidambaram Stadium, Chepauk"
"381","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"382","field","Kolkata Knight Riders","Eden Gardens"
"383","field","Mumbai Indians","M Chinnaswamy Stadium"
"384","field","Pune Warriors","Rajiv Gandhi International Stadium, Uppal"
"385","bat","Rajasthan Royals","Feroz Shah Kotla"
"386","bat","Mumbai Indians","MA Chidambaram Stadium, Chepauk"
